indicativo,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,presMax,presMin
1387E,98,16.9,0.0,12.0,21.8,01,3.1,8.3,1008.7,1003.9
1387E,98,20.5,1.0,12.5,28.5,22,4.7,11.7,1008.5,1005.5
1387E,98,21.4,0,17.6,25.1,22,2.2,10.3,1008.7,1006.1
1387E,98,21.4,3.5,16.0,26.8,99,5.3,10.8,1009.4,1005.4
1387E,98,18.6,0.0,15.7,21.6,04,3.9,11.7,1012.7,1009.3
1387E,98,20.2,0.0,16.4,24.0,99,5.0,12.5,1012.3,1006.6
1387E,98,17.3,2.2,15.0,19.6,01,4.2,10.3,1009.2,1004.4
1387E,98,17.0,2.0,13.2,20.8,32,3.1,11.4,1011.0,1008.6
1387E,98,16.6,0.0,13.4,19.8,35,4.7,11.7,1016.5,1010.1
1387E,98,16.4,0.0,10.5,22.4,36,4.4,12.5,1017.0,1014.6
1387E,98,16.4,0.0,9.9,22.9,35,2.8,12.5,1015.0,1011.3
1387E,98,16.6,0.0,10.8,22.3,01,3.3,11.7,1012.1,1009.4
1387E,98,20.3,0.0,12.1,28.5,99,2.2,5.8,1009.4,1001.7
1387E,98,19.5,0.1,15.7,23.3,28,2.8,11.7,1006.8,1000.3
1387E,98,17.7,0.2,14.0,21.4,35,3.1,7.2,1011.0,1006.2
1387E,98,19.0,0.0,12.5,25.4,28,4.2,11.4,1011.2,1009.7
1387E,98,22.8,1.8,19.3,26.3,33,3.1,10.3,1010.0,1007.8
1387E,98,20.6,0,17.5,23.8,36,3.1,10.8,1011.6,1007.1
1387E,98,19.4,0.0,15.8,23.1,99,3.6,9.7,1012.4,1010.5
1387E,98,21.2,0.0,12.9,29.4,99,2.2,6.1,1011.6,1005.4
1387E,98,26.1,0.0,14.9,37.3,34,3.1,10.3,1005.4,1000.7
1387E,98,19.8,0.0,15.8,23.8,35,3.3,8.9,1007.5,1003.5
1387E,98,19.4,0.1,16.0,22.7,99,3.3,9.7,1006.8,1005.3
1387E,98,19.9,0.0,16.8,23.0,99,3.3,7.8,1006.2,1004.9
1387E,98,20.2,0.0,15.7,24.6,18,1.7,8.3,1005.5,1002.7
1387E,98,20.4,0,15.4,25.3,99,2.8,8.3,1002.7,999.4
1387E,98,19.4,8.1,13.9,24.9,32,3.6,11.4,1002.2,999.2
1387E,98,19.5,0.0,15.6,23.4,36,3.1,9.7,1003.7,1000.6
1387E,98,19.2,3.3,17.9,20.6,01,2.5,11.4,1004.9,1002.0
1387E,98,17.0,0.3,15.6,18.5,99,3.3,8.9,1009.6,1003.2
1387E,98,16.2,0.0,12.6,19.9,99,3.9,12.5,1012.8,1009.3
1387E,98,14.8,0.0,9.1,20.5,02,3.6,13.3,1014.8,1012.1
1387E,98,15.8,0.0,8.3,23.2,99,2.5,7.2,1014.3,1007.9
1387E,98,18.1,1.6,11.8,24.4,27,3.6,12.5,1008.0,1002.1
1387E,98,19.5,0.0,17.7,21.3,99,1.4,5.8,1009.6,1003.6
1387E,98,20.2,0.0,16.7,23.8,99,4.4,9.2,1015.9,1009.0
1387E,98,17.6,0.0,14.1,21.2,99,3.3,11.7,1016.1,1012.8
1387E,98,14.8,0.0,9.7,19.9,36,3.3,6.1,1013.5,1009.0
1387E,98,15.8,5.9,9.2,22.3,29,3.3,5.8,1009.0,1002.7
1387E,98,16.6,2.3,14.1,19.1,99,4.7,11.7,1005.7,1002.3
1387E,98,16.1,2.5,12.3,19.9,15,2.2,9.7,1006.9,1004.8
1387E,98,18.1,1.8,15.4,20.8,99,4.4,10.8,1007.7,1004.6
1387E,98,19.3,0.1,15.4,23.2,29,3.1,10.8,1011.1,1005.7
1387E,98,20.5,2.8,18.0,23.0,32,1.9,10.8,1011.0,1009.6
1387E,98,15.0,1.1,11.1,18.8,33,3.3,12.5,1014.3,1009.3
1387E,98,13.2,2.6,8.5,17.8,33,3.6,12.8,1011.3,1008.2
1387E,98,13.4,0,8.6,18.2,99,2.5,7.8,1008.5,1006.8
1387E,98,15.6,6.0,11.7,19.4,21,2.2,14.4,1008.8,1005.1
1387E,98,17.2,0.4,14.3,20.1,22,3.3,13.9,1012.8,1005.1
1387E,98,16.0,0,12.1,19.9,02,1.9,7.2,1013.6,1011.4
1387E,98,15.1,4.7,9.3,20.9,17,2.2,7.2,1011.4,1005.7
1387E,98,15.0,6.0,12.4,17.6,34,2.2,9.7,1010.9,1004.8
1387E,98,16.8,0.0,12.9,20.8,35,2.2,7.8,1010.7,1005.7
1387E,98,16.8,0.0,10.1,23.4,31,3.9,8.9,1007.8,1003.5
1387E,98,16.2,0.2,12.8,19.6,23,5.0,12.5,1009.8,1005.9
1387E,98,16.9,0,13.3,20.5,02,2.2,6.7,1012.3,1009.5
1387E,98,16.4,0,10.8,21.9,14,1.1,10.3,1011.5,1006.4
1387E,98,19.8,0.0,15.1,24.5,22,4.4,10.8,1008.9,1005.5
1387E,98,20.6,0.0,15.5,25.7,20,4.2,12.5,1009.8,1007.7
1387E,98,17.1,0.2,13.3,20.9,33,2.2,9.2,1012.6,1008.5
1387E,98,16.4,0.6,12.1,20.8,15,1.7,7.8,1012.7,1010.9
1387E,98,19.0,0,16.2,21.8,99,2.2,7.2,1014.2,1011.6
1387E,98,20.0,0.4,16.5,23.4,01,1.9,7.2,1014.5,1012.3
1387E,98,18.1,0,14.7,21.5,34,2.5,9.7,1012.7,1009.8
1387E,98,18.5,0.1,11.3,25.7,34,1.9,6.7,1010.5,1008.0
1387E,98,17.4,0.0,12.2,22.5,99,2.5,8.3,1012.2,1010.1
1387E,98,16.8,0.0,9.4,24.3,04,2.5,8.9,1012.6,1010.1
1387E,98,16.1,0,7.6,24.6,02,1.9,5.0,1010.9,1007.2
1387E,98,15.3,0.0,5.8,24.8,15,2.2,5.8,1009.6,1007.6
1387E,98,13.8,0.1,5.9,21.8,99,1.4,5.0,1009.9,1007.8
1387E,98,14.4,0,6.5,22.2,17,1.9,6.7,1008.7,1006.0
1387E,98,14.8,0,8.0,21.5,35,2.2,8.9,1012.3,1007.1
1387E,98,13.8,0,7.9,19.7,99,1.9,5.8,1012.2,1010.5
1387E,98,16.0,0.1,11.5,20.5,13,1.7,7.8,1013.8,1011.7
1387E,98,17.4,0,8.4,26.3,24,1.7,6.7,1011.9,1006.2
1387E,98,25.0,0.1,17.9,32.0,20,5.0,22.8,1006.3,999.7
1387E,98,17.8,8.3,12.9,22.8,21,1.1,21.7,1010.6,1001.3
1387E,98,16.3,0.8,12.4,20.2,23,4.7,13.9,1006.8,999.1
1387E,98,14.2,1.4,10.7,17.6,99,2.8,9.7,1000.2,997.7
1387E,98,14.9,2.3,11.0,18.8,22,3.6,15.3,1003.1,997.2
1387E,98,18.4,4.2,13.5,23.4,21,6.9,16.9,1008.5,1001.8
1387E,98,13.3,0.0,9.3,17.3,99,3.9,11.7,1018.4,1008.5
1387E,98,12.4,0.0,7.3,17.6,18,1.4,8.3,1019.0,1015.6
1387E,98,12.0,0,4.6,19.3,15,1.9,8.3,1015.7,1011.5
1387E,98,17.0,0.0,7.0,26.9,17,2.8,9.7,1011.5,1009.1
1387E,98,17.0,0.0,7.2,26.7,99,3.3,7.2,1010.4,1007.6
1387E,98,18.9,0,12.6,25.2,20,2.5,10.8,1016.8,1010.2
1387E,98,18.2,0.1,10.8,25.5,13,1.7,9.7,1019.5,1016.4
1387E,98,15.1,0.1,8.5,21.7,34,1.7,6.1,1018.6,1014.6
1387E,98,13.4,0,6.7,20.2,99,3.1,9.2,1015.5,1013.2
1387E,98,15.8,0.0,12.4,19.1,06,4.2,11.4,1013.3,1008.8
1387E,98,13.8,0.0,6.0,21.5,13,2.5,8.9,1009.0,1004.1
1387E,98,15.6,0.9,11.4,19.7,99,3.9,10.3,1004.4,1001.6
1387E,98,16.4,16.3,12.6,20.1,17,3.3,11.4,1002.4,999.4
1387E,98,14.8,0.5,12.1,17.6,21,1.9,11.7,1000.1,997.0
1387E,98,13.8,2.1,11.3,16.4,33,3.6,14.4,1012.4,998.0
1387E,98,11.6,0.4,8.3,14.9,36,2.2,9.2,1018.3,1012.4
1387E,98,10.2,0,5.4,15.1,99,1.7,5.8,1018.2,1011.5
1387E,98,8.4,1.8,3.0,13.8,99,1.9,8.9,1016.0,1010.0
1387E,98,9.0,3.1,4.3,13.7,99,2.2,8.9,1018.9,1015.9
1387E,98,9.8,2.6,6.3,13.2,04,0.6,8.3,1021.8,1018.2
1387E,98,13.0,0.7,11.1,14.8,35,2.5,8.9,1023.0,1020.9
1387E,98,13.4,0.1,11.3,15.5,13,0.8,5.0,1021.7,1016.4
1387E,98,14.0,1.6,12.0,16.1,35,1.4,9.7,1016.4,1012.3
1387E,98,11.0,0.0,7.2,14.9,07,3.3,9.2,1015.7,1013.3
1387E,98,9.2,0.0,2.4,16.0,11,1.4,8.3,1013.3,1007.1
1387E,98,10.6,0.1,4.5,16.7,99,1.4,6.7,1008.5,1006.3
1387E,98,9.1,0,3.0,15.2,19,1.9,7.2,1010.7,1007.8
1387E,98,10.2,0.1,4.3,16.2,13,0.8,7.2,1010.9,1008.6
1387E,98,10.1,0.0,2.5,17.7,15,1.1,6.7,1010.2,1008.3
1387E,98,10.9,0.0,2.6,19.2,14,0.6,6.1,1010.6,1008.3
1387E,98,11.9,0.0,4.2,19.6,16,2.8,8.9,1010.3,1008.1
1387E,98,13.6,0.0,6.7,20.5,99,3.3,11.7,1008.2,999.9
1387E,98,17.0,3.9,13.8,20.3,23,8.3,24.2,1000.0,988.3
1387E,98,15.6,0.6,12.7,18.6,99,5.0,15.3,1002.0,993.3
1387E,98,12.0,21.6,10.8,13.3,02,0.6,9.2,1008.9,1001.7
1387E,98,7.8,0,2.9,12.7,05,2.2,11.4,1017.9,1008.7
1387E,98,6.8,0.0,-0.4,14.1,17,1.1,6.7,1019.8,1017.1
1387E,98,6.6,0.0,0.1,13.0,15,1.4,6.7,1017.1,1011.7
1387E,98,6.4,3.6,-0.3,13.0,15,1.4,7.8,1011.8,1003.2
1387E,98,6.5,2.9,2.2,10.8,02,1.4,11.7,1007.2,1001.8
1387E,98,5.5,6.2,-0.3,11.3,14,1.7,6.7,1013.4,1006.7
1387E,98,6.4,2.3,1.4,11.5,32,4.2,16.1,1016.6,1011.4
1387E,98,5.8,0.4,-0.1,11.7,03,1.9,7.2,1018.6,1016.5
1387E,98,5.8,0.0,-0.2,11.8,99,2.2,6.7,1022.1,1018.5
1387E,98,8.4,0.0,2.5,14.3,99,1.4,6.1,1023.9,1021.5
1387E,98,7.8,0,1.2,14.3,14,1.4,7.8,1023.4,1021.3
1387E,98,6.7,0.4,0.6,12.8,22,1.7,12.5,1021.5,1016.8
1387E,98,11.5,9.6,9.0,14.0,21,7.8,16.9,1017.0,1012.6
1387E,98,11.8,7.7,9.5,14.1,35,1.1,6.1,1016.8,1015.0
1387E,98,12.8,6.7,9.6,15.9,25,4.2,12.5,1016.2,1005.5
1387E,98,11.6,58.3,7.1,16.1,29,7.2,34.4,1005.7,973.1
1387E,98,8.6,1.7,5.9,11.3,33,6.1,19.7,1000.5,975.3
1387E,98,8.2,2.3,4.6,11.8,22,3.1,15.0,1008.9,1000.4
1387E,98,12.5,9.0,10.0,15.0,22,5.0,13.9,1010.6,1008.4
1387E,98,12.4,2.9,10.7,14.1,31,3.9,13.9,1009.8,1003.9
1387E,98,8.4,1.5,4.6,12.1,35,3.1,16.1,1009.7,1002.3
1387E,98,6.8,0.8,2.3,11.3,17,1.1,6.1,1020.0,1009.7
1387E,98,6.5,0.1,0.0,13.0,99,1.4,6.7,1023.2,1019.5
1387E,98,7.2,1.4,1.4,12.9,15,1.4,8.3,1023.8,1020.9
1387E,98,9.4,0.2,4.0,14.7,04,1.9,6.7,1022.8,1020.2
1387E,98,6.8,0,0.1,13.5,16,0.6,5.0,1023.8,1021.0
1387E,98,8.8,0.0,1.0,16.7,16,0.8,6.1,1027.4,1023.3
1387E,98,7.4,0.1,1.2,13.7,36,2.8,7.2,1028.4,1026.1
1387E,98,7.8,0.0,1.6,13.9,17,1.7,6.7,1026.3,1019.9
1387E,98,9.2,0,2.8,15.5,15,0.8,9.2,1019.9,1012.9
1387E,98,8.4,8.8,4.0,12.7,23,5.3,17.5,1012.9,1000.4
1387E,98,10.2,7.3,6.0,14.4,28,7.5,24.7,1008.7,991.5
1387E,98,9.7,7.2,7.4,12.0,99,3.6,18.6,1003.4,994.8
1387E,98,11.3,4.7,8.5,14.1,99,4.7,15.3,1005.3,998.5
1387E,98,15.3,0,12.7,17.9,31,5.0,13.3,1009.9,1002.3
1387E,98,15.8,0.3,13.7,18.0,20,8.1,19.7,1011.2,1007.0
1387E,98,11.2,15.9,7.4,15.1,33,8.3,23.6,1015.9,999.9
1387E,98,12.3,1.7,9.6,15.0,22,7.2,16.9,1017.0,1013.1
1387E,98,15.6,1.3,13.7,17.4,99,5.0,11.7,1016.8,1014.0
1387E,98,16.6,0.1,15.1,18.0,99,4.2,12.8,1018.4,1015.2
1387E,98,15.1,20.1,13.6,16.6,22,6.9,16.1,1015.2,999.1
1387E,98,8.7,8.1,3.2,14.2,21,3.3,15.0,999.2,994.9
1387E,98,5.8,5.3,2.0,9.5,30,0.6,11.4,996.8,992.8
1387E,98,6.0,1.3,1.3,10.8,02,5.3,15.0,996.9,994.7
1387E,98,8.4,0.1,4.3,12.4,22,1.1,12.5,1000.8,996.2
1387E,98,11.1,3.6,7.5,14.7,20,3.9,21.7,1001.9,993.1
1387E,98,9.3,16.3,6.7,11.9,33,5.6,21.7,1008.6,994.8
1387E,98,8.4,0.2,4.9,11.8,29,3.6,16.1,1015.9,1008.4
1387E,98,8.0,4.5,3.1,13.0,19,5.0,13.9,1015.5,1002.2
1387E,98,8.7,7.8,4.9,12.5,29,2.8,10.3,1006.1,1001.4
1387E,98,7.4,0,2.5,12.2,13,1.4,7.8,1013.3,1005.6
1387E,98,6.9,1.4,1.8,12.0,23,5.3,13.9,1014.6,1011.2
1387E,98,13.2,0.1,11.1,15.2,23,3.3,10.8,1016.7,1013.7
1387E,98,10.4,0.0,8.3,12.5,35,1.7,9.7,1019.5,1016.5
1387E,98,8.9,1.5,6.1,11.7,15,2.8,8.3,1016.5,1011.9
1387E,98,11.4,0,8.6,14.2,35,1.4,12.5,1016.2,1011.2
1387E,98,11.2,0.0,7.3,15.0,23,3.3,9.7,1017.8,1014.2
1387E,98,13.7,0.5,11.7,15.7,27,1.9,7.2,1019.4,1017.4
1387E,98,13.6,0.7,11.3,15.8,22,2.5,9.2,1018.4,1016.7
1387E,98,13.9,0.0,11.8,16.0,99,3.3,10.3,1017.8,1014.6
1387E,98,12.1,9.9,10.0,14.2,19,7.5,16.1,1014.6,1007.1
1387E,98,9.2,10.5,6.6,11.7,33,3.9,13.3,1012.9,1006.0
1387E,98,8.8,2.4,6.2,11.3,35,5.8,15.3,1022.7,1012.7
1387E,98,7.7,1.1,3.8,11.6,99,1.4,5.0,1024.2,1021.9
1387E,98,9.9,0,4.6,15.2,99,1.7,5.8,1025.4,1022.2
1387E,98,9.4,0,2.6,16.1,99,2.8,6.7,1023.6,1019.5
1387E,98,7.2,0.1,0.4,14.0,99,1.4,5.0,1020.2,1014.3
1387E,98,7.2,2.6,3.8,10.7,35,0.6,9.2,1014.6,1009.4
1387E,98,8.2,4.4,5.8,10.6,02,5.0,20.0,1009.6,1004.8
1387E,98,6.4,2.7,2.9,10.0,03,1.4,12.5,1011.4,1006.7
1387E,98,7.6,8.4,4.3,10.9,32,6.1,17.5,1011.0,1006.8
1387E,98,5.8,10.7,2.3,9.3,03,2.8,18.9,1006.9,1003.2
1387E,98,6.2,0.2,3.4,8.9,06,5.8,16.9,1007.9,1003.8
1387E,98,5.7,7.8,1.8,9.6,35,2.5,10.8,1009.2,1005.2
1387E,98,4.8,4.1,1.4,8.1,99,3.9,15.0,1013.7,1008.9
1387E,98,5.0,3.8,-0.8,10.9,99,2.5,9.2,1013.5,1006.3
1387E,98,7.3,1.0,4.2,10.4,35,3.3,12.5,1017.1,1006.2
1387E,98,7.6,2.9,3.5,11.8,29,2.8,9.2,1017.2,1011.0
1387E,98,8.0,8.2,3.6,12.5,99,3.9,11.4,1013.5,1008.7
1387E,98,5.7,8.6,1.6,9.8,22,3.1,11.7,1014.5,1006.9
1387E,98,8.5,10.4,4.9,12.1,99,4.2,13.9,1006.9,1000.7
1387E,98,14.1,0.1,11.9,16.3,22,4.4,17.5,1004.8,999.4
1387E,98,13.6,13.2,11.1,16.2,20,3.9,9.2,1010.7,1004.7
1387E,98,10.8,29.0,8.1,13.6,34,2.5,11.4,1013.6,1008.3
1387E,98,8.4,0.0,4.3,12.4,01,2.5,8.9,1018.1,1013.6
1387E,98,7.8,0.0,2.0,13.6,36,1.4,6.7,1017.8,1012.9
1387E,98,10.4,0.0,7.7,13.0,35,3.3,8.9,1013.0,1011.8
1387E,98,11.4,0,7.8,14.9,05,2.5,10.8,1013.4,1010.7
1387E,98,10.4,0.0,7.6,13.2,07,4.4,12.8,1010.7,1003.0
1387E,98,6.9,0.0,0.6,13.2,07,2.8,8.3,1003.1,997.7
1387E,98,6.7,0.0,-0.8,14.2,14,2.2,7.2,997.7,993.2
1387E,98,6.6,0.0,-0.9,14.1,05,1.9,7.8,997.5,993.1
1387E,98,8.6,0.0,-0.5,17.7,36,2.8,7.2,1000.0,997.5
1387E,98,8.4,0.0,0.4,16.3,99,3.9,11.4,999.1,992.8
1387E,98,6.0,0.1,2.6,9.4,99,5.0,12.5,995.1,987.1
1387E,98,3.6,24.3,1.0,6.2,09,0.8,10.8,987.1,970.5
1387E,98,7.9,16.4,4.1,11.7,33,3.6,17.5,983.0,963.2
1387E,98,19.0,0.0,11.7,26.2,99,3.1,7.8,1009.1,1005.1
1387E,98,23.2,0.0,14.4,32.0,07,2.5,5.0,1005.3,1002.7
1387E,98,24.4,0.0,19.8,29.1,99,3.1,6.7,1008.4,1004.1
1387E,98,23.0,0.0,18.0,28.1,33,2.2,7.2,1008.7,1006.8
1387E,98,24.0,0.0,16.9,31.1,99,1.9,5.0,1006.8,1002.2
1387E,98,19.9,0.7,16.3,23.5,99,3.1,6.7,1003.9,1001.1
1387E,98,19.4,0,16.1,22.6,29,1.9,9.7,1005.6,1003.6
1387E,98,18.4,18.4,14.8,22.1,14,1.9,8.3,1006.6,1002.7
1387E,98,16.9,0.5,13.4,20.4,34,2.8,8.9,1013.8,1006.6
1387E,98,15.2,0.0,9.7,20.8,99,3.9,10.3,1013.6,1011.4
1387E,98,18.0,0,11.6,24.4,99,2.8,7.2,1012.2,1007.1
1387E,98,20.1,0,14.8,25.4,99,2.8,9.7,1007.1,1004.1
1387E,98,18.6,0,16.1,21.1,34,2.5,8.3,1009.0,1004.8
1387E,98,21.6,0,17.6,25.6,02,3.3,8.9,1009.7,1006.9
1387E,98,20.4,0.0,13.3,27.4,99,2.8,6.1,1007.9,1003.3
1387E,98,19.8,0.0,16.8,22.8,35,4.2,11.4,1010.9,1005.7
1387E,98,19.4,0.0,15.4,23.4,05,5.0,12.5,1012.6,1010.3
1387E,98,21.0,0.0,15.2,26.9,05,2.5,8.3,1010.9,1007.1
1387E,98,20.0,0.0,11.9,28.0,99,2.8,8.3,1009.6,1008.2
1387E,98,20.8,0.0,13.3,28.3,35,2.5,6.7,1009.3,1005.3
1387E,98,21.4,0.0,13.6,29.2,99,2.5,4.7,1005.8,1001.8
1387E,98,21.7,0.0,15.5,27.9,99,2.2,5.8,1006.7,1002.7
1387E,98,19.2,0.0,15.9,22.4,36,3.3,11.7,1011.0,1006.4
1387E,98,19.0,0.0,16.1,21.9,01,4.4,10.3,1011.9,1009.6
1387E,98,16.5,0.0,11.7,21.3,01,3.6,9.2,1010.8,1007.0
1387E,98,17.5,0.0,11.7,23.3,02,2.8,7.8,1007.0,1004.4
1387E,98,21.4,1.8,17.9,25.0,99,2.8,8.3,1004.8,1000.4
1387E,98,22.8,1.6,16.6,28.9,32,4.2,10.8,1008.1,998.4
1387E,98,17.7,0.0,14.3,21.1,36,3.6,9.2,1012.5,1008.1
1387E,98,16.8,0.0,12.0,21.6,35,3.6,11.7,1012.2,1009.1
1387E,98,18.8,0.0,12.5,25.1,01,3.3,9.7,1009.5,1006.9
1387E,98,22.0,0.0,13.9,30.1,99,2.5,6.1,1007.4,1002.4
1387E,98,25.4,0.3,16.7,34.1,14,3.1,7.8,1002.5,999.9
1387E,98,22.6,0.0,16.8,28.5,99,4.2,11.4,1003.6,999.9
1387E,98,19.4,0.0,17.5,21.4,08,3.1,8.3,1003.8,1002.1
1387E,98,19.0,0.2,16.6,21.3,06,3.6,11.4,1007.2,1002.7
1387E,98,19.4,0.3,16.6,22.1,99,3.9,11.7,1008.2,1006.1
1387E,98,19.4,0.0,12.9,25.9,13,2.5,8.9,1006.1,1002.6
1387E,98,20.1,0.0,12.5,27.7,15,2.5,8.9,1006.5,1002.0
1387E,98,18.3,0.1,13.0,23.6,02,3.1,9.2,1011.9,1006.4
1387E,98,18.7,0.1,13.0,24.4,36,2.8,7.8,1012.7,1010.6
1387E,98,18.6,0,12.2,24.9,99,2.5,5.8,1011.1,1007.6
1387E,98,18.4,0,14.6,22.3,35,3.1,9.2,1011.7,1008.5
1387E,98,18.6,0,14.8,22.5,35,3.3,10.8,1011.2,1008.5
1387E,98,19.5,0.0,16.5,22.5,35,3.3,10.3,1009.4,1007.7
1387E,98,18.6,0.0,12.3,24.9,99,3.1,6.7,1009.2,1006.0
1387E,98,18.0,0.1,14.2,21.7,99,2.5,6.7,1010.3,1005.4
1387E,98,20.3,0,11.5,29.1,26,3.1,10.8,1005.4,1001.7
1387E,98,19.1,0.0,14.4,23.8,99,3.6,7.2,1008.3,1003.5
1387E,98,18.0,0.0,11.9,24.0,01,3.6,8.3,1010.8,1007.8
1387E,98,19.2,0.1,11.9,26.5,99,3.9,8.3,1009.8,1006.2
1387E,98,18.2,2.0,16.8,19.6,17,1.7,8.9,1010.9,1006.5
1387E,98,19.4,0.1,14.4,24.3,99,2.5,7.2,1013.3,1009.7
1387E,98,19.7,0,17.0,22.4,04,1.9,8.3,1015.9,1012.0
1387E,98,18.6,0.0,14.1,23.1,08,4.7,11.7,1016.3,1013.0
1387E,98,18.2,0.0,10.8,25.6,08,4.2,10.8,1013.2,1009.3
1387E,98,20.7,0.0,11.0,30.4,99,2.8,6.1,1012.4,1008.4
1387E,98,19.8,0.0,16.3,23.3,99,2.2,7.2,1013.8,1011.8
1387E,98,17.7,0,15.1,20.3,99,1.7,6.1,1012.1,1007.0
1387E,98,18.0,0,12.6,23.3,99,1.7,5.8,1007.1,1003.4
1387E,98,16.6,0.0,11.3,21.9,99,3.3,9.2,1012.8,1005.2
1387E,98,17.8,0.0,13.6,22.0,02,3.9,10.8,1014.5,1012.7
1387E,98,15.6,0.0,7.6,23.5,34,3.1,6.7,1014.2,1010.7
1387E,98,17.6,0.0,8.6,26.6,15,3.1,8.3,1011.8,1008.7
1387E,98,19.5,0.0,11.4,27.6,15,2.8,7.8,1008.7,1005.0
1387E,98,14.2,0.0,8.6,19.8,99,2.8,7.2,1005.0,1003.2
1387E,98,12.4,1.9,8.8,16.1,99,5.0,11.4,1012.8,1003.4
1387E,98,12.0,0.0,5.1,18.8,99,4.4,10.8,1013.0,1010.0
1387E,98,12.8,0.0,4.2,21.3,13,2.2,7.2,1010.0,1002.3
1387E,98,16.4,0.0,8.3,24.4,14,2.2,8.9,1002.3,993.7
1387E,98,17.0,8.3,9.8,24.1,20,5.0,18.9,993.8,987.0
1387E,98,17.3,0,13.8,20.8,20,5.6,16.9,998.6,987.9
1387E,98,19.6,0,17.1,22.0,19,8.9,20.6,1001.8,998.1
1387E,98,19.0,27.0,11.7,26.4,18,6.9,21.7,1000.1,994.9
1387E,98,13.4,4.3,10.5,16.3,33,3.6,13.3,1001.8,993.5
1387E,98,16.1,0.6,11.2,21.0,16,3.1,16.4,1000.9,989.4
1387E,98,13.8,0.0,8.9,18.7,99,2.2,6.1,1007.7,1000.8
1387E,98,14.0,9.3,11.7,16.3,35,1.7,7.8,1007.2,1002.3
1387E,98,16.1,0.0,13.7,18.5,06,3.6,10.3,1007.2,1002.8
1387E,98,18.0,0.0,14.5,21.4,05,4.7,9.7,1009.8,1005.6
1387E,98,17.4,0.0,11.4,23.3,99,3.3,11.4,1011.3,1008.1
1387E,98,17.0,0.0,11.3,22.7,15,2.5,6.1,1011.4,1007.8
1387E,98,16.2,0.0,10.0,22.4,07,3.9,12.5,1015.9,1011.4
1387E,98,16.9,0.0,11.4,22.4,10,3.6,12.5,1015.8,1013.6
1387E,98,15.8,0,8.3,23.4,0,2.2,0,1015.7,1010.2
1387E,98,14.7,0.1,6.6,22.8,0,2.2,0,1010.2,1004.2
1387E,98,13.5,0.4,8.8,18.2,02,3.3,12.5,1008.4,1002.7
1387E,98,9.1,10.6,5.6,12.6,0,3.1,0,1008.2,999.5
1387E,98,8.4,6.9,5.0,11.9,04,5.8,18.1,1001.7,999.1
1387E,98,9.2,7.7,5.7,12.7,19,3.6,12.5,1002.1,983.6
1387E,98,11.0,11.8,8.7,13.4,34,3.1,11.4,990.9,982.7
1387E,98,10.4,0.1,6.3,14.5,99,3.1,8.3,1000.2,989.7
1387E,98,11.2,2.3,7.0,15.5,0,5.8,0,1006.5,999.8
1387E,98,14.1,0.1,13.0,15.2,30,1.7,11.7,1015.4,1006.4
1387E,98,12.7,3.6,11.4,14.0,14,2.2,9.2,1014.8,1005.2
1387E,98,12.9,33.8,10.7,15.1,19,5.0,15.3,1005.2,986.6
1387E,98,11.4,0.6,9.3,13.6,34,6.7,20.6,996.5,986.6
1387E,98,12.0,28.3,8.8,15.2,99,9.7,22.8,996.4,984.8
1387E,98,12.0,5.4,8.6,15.3,99,3.6,13.3,1002.9,989.5
1387E,98,10.4,10.2,7.9,12.9,15,5.3,13.9,1003.4,994.0
1387E,98,11.8,34.5,7.5,16.0,99,7.5,20.0,1003.9,992.7
1387E,98,14.6,7.6,11.7,17.4,22,5.3,16.9,994.5,992.7
1387E,98,11.5,0,8.3,14.7,99,3.6,12.5,998.2,991.2
1387E,98,10.9,0.1,6.2,15.6,99,2.2,8.3,1011.2,998.1
1387E,98,9.1,0,2.2,16.0,15,1.7,7.8,1014.2,1010.5
1387E,98,13.0,0.0,5.1,20.9,18,3.1,8.3,1010.5,1002.1
1387E,98,16.2,0.0,10.6,21.9,15,2.5,10.3,1005.1,1001.8
1387E,98,16.2,0.0,10.6,21.7,15,3.3,9.2,1004.9,1000.5
1387E,98,15.2,0.0,9.4,21.0,99,3.9,10.3,1000.6,994.8
1387E,98,13.2,0.0,7.9,18.4,07,2.2,9.2,994.8,989.4
1387E,98,12.1,23.7,6.6,17.6,16,1.4,5.8,992.5,989.0
1387E,98,9.6,1.2,6.8,12.3,99,2.5,6.7,991.9,987.2
1387E,98,9.4,5.6,5.8,12.9,20,4.4,11.4,996.6,991.3
1387E,98,10.0,8.7,7.1,12.9,17,4.4,13.3,998.7,995.8
1387E,98,10.0,0.8,6.1,14.0,23,4.2,12.8,999.9,998.3
1387E,98,9.3,42.4,7.6,11.0,33,2.8,11.4,999.9,993.0
1387E,98,6.9,18.0,3.0,10.8,34,2.2,15.0,1000.0,992.3
1387E,98,10.4,0.1,7.5,13.3,28,4.2,17.5,1010.8,992.9
1387E,98,11.2,0.0,9.0,13.4,17,6.9,21.7,1010.2,1005.4
1387E,98,14.2,5.8,12.1,16.4,19,8.6,20.6,1005.7,999.3
1387E,98,13.0,0.3,9.7,16.3,21,3.9,20.0,1006.5,996.7
1387E,98,11.7,0.0,7.8,15.6,22,3.9,10.3,1010.6,1006.2
1387E,98,14.2,0.0,12.4,16.0,99,5.8,14.4,1009.3,1005.9
